NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Prospect Lefferts Gardens,Brooklyn,1321,50,No,44559,2125000,3605,48.22,Interior,R7-1,,,,,,3.56,122026,22
West Farms,The Bronx,3121,25,No,44559,2700000,8654,91.44,Interior,R7-1,,,,,,3.44,29770,71
Borough Park,Brooklyn,5716,"14, 15",Yes,44559,1780000,4618,43.1,Interior,M1-1,,,,,,1,4618,385
Williamsburg,Brooklyn,2314,122,No,44559,4350000,3350,83.5,Interior,M1-2/R6A,,,,MX-8,VIH,2.66,8910,488
Boerum Hill,Brooklyn,198,"48, 47, 22, 23",Yes,44558,6000000,44583,445.8,Through,R7B,,,,,,3,136001,326
Williamsburg,Brooklyn,2742,35,No,44558,44400000,5000,50,Interior,M1-2/R6 ,,,,MX-8,VIH,2.20/2.70,12250,490
Williamsbridge,The Bronx,4693,8,No,44557,4150000,18000,150,Interior,R6A,,C1-4,,,,3,53599,77
Williamsburg,Brooklyn,3083,"6, 1",Yes,44557,14000000,24000,220,Corner ,M1-2,,,,,,2,48000,292
Flatbush,Brooklyn,5107,"101, 88, 97",Yes,44553,4500000,14191,256.07,Corner ,R6 ,,C2-3,,,,3.07,43858,103
West Farms,The Bronx,3140,7,No,44552,26000000,79612,243.08,Corner,R8,R7-1,,,,MIH,7.20/3.44,320694,33
Crown Heights,Brooklyn,1134,"2, 96",Yes,44552,10458750,6401,67.92,Through,M1-4/R7A,,,,,MIH,4.6,29445,161
Crown Heights,Brooklyn,1134,12,No,44552,4730000,23199,95,Through,M1-4/R7A,,,,,MIH,4.6,106715,244
Pelham Bay,The Bronx,4248,1,No,44550,4195000,13570,93.99,Corner,R7-1,R5A,C2-4,,,,3.44,52467,75
Greenpoint,Brooklyn,2649,"25, 24",Yes,44550,3960000,4167,31.67,Interior,R7A,,,,,VIH,3.45,14370,292
East New York,Brooklyn,4586,300,No,44546,25000000,1175268,1165.91,Through,R3-2,,,,,,0.09,108978,229
Manhattan Valley,Manhattan,1243,"57, 59, 60",Yes,44546,32922500,10402,103.25,Interior ,R10A,,,,,,10,104020,317
Briarwood,Queens,9644,6,No,44540,15920000,20000,300,Corner,C4-3A,,,,,,3,60000,265
Midtown East,Manhattan,1289,149,No,44538,27250000,3200,40,Interior ,C5-3,,,,MID,,15,48000,568
Mount Hope,The Bronx,2854,24,No,44537,4000000,4835,50.14,Corner,C4-4D,,,,,,6.02,29107,137
Midtown East,Manhattan,1310,14,No,44536,24393000,4410,60.42,Corner,C5-2.5,,,,MID,,12,52920,461
Bedford-Stuyvesant,Brooklyn,1737,35,No,44533,7050000,10395,100,Corner ,R7D,,,,,MIH,5.6,58212,121
Carnegie Hill,Manhattan,1557,"8, 37",Yes,44532,70000000,27695,225,Through,C8-4,,,,,,5,138475,506
Belmont,The Bronx,3097,"12, 13",Yes,44530,1640000,7174,49.42,Interior,R7-1,,,,,,3.44,23478,70
Carnegie Hill,Manhattan,1515,33,No,44530,21000000,5000,150,Corner,C2-8A,,,,,,10,50000,420
Far Rockaway,Queens,15629,"70, 72",Yes,44524,1350000,10143,240.16,Through,R5,R4-1,,,,,3,60000,23
Greenpoint,Brooklyn,2829,26,No,44522,1600000,2500,25,Interior,R6B,,,,,,2,5000,320
Bedford-Stuyvesant,Brooklyn,1928,48,No,44519,1000000,5000,16.67,Interior,R7A ,,C2-4,,,VIH,3.45,11495,87
Sunset Park,Brooklyn,722,"29, 51",Yes,44519,2800000,9516,50.08,Through,M1-2,,,,,,1.4,7988,351
Far Rockaway,Queens,"15857, 15843","1, 25, 35, 45, 55, 65, 75, 85, 95",Yes,44518,90400000,341799,927.44,Corner,C4-3A,C4-4,,,,MIH,3.60/4.60,1554701,58
East Elmhurst,Queens,1696,"39, 40, 41, 42",Yes,44518,4300000,8000,180,Corner,R6A,,C2-4,,,,3,24000,179
Mott Haven,The Bronx,2341,42,No,44517,21200000,31100,311.95,Interior,C6-2A,,,,,VIH,5.4,196902,108
East Flatbush,Brooklyn,4999,5,No,44517,1300000,4000,40,Interior,R6,,,,,,3,12000,108
Saint Albans,Queens,12599,35,No,44516,128500000,8711,187.56,Corner,R5D,,C1-3,,,,2,17422,135
Belmont,The Bronx,3038,"12, 13",Yes,44516,1100000,6348,48,Interior,M1-1,,,,,,1,6348,173
Long Island City,Queens,183,"9, 12",Yes ,44516,2350000,138921,625.91,Corner,M1-5,,,,,,5,649605,198
East Harlem,Manhattan,1622,33,No,44515,2000000,2250,115,Corner,R9,,C2-5,,EHC,MIH,8,18000,111
Williamsburg,Brooklyn,2379,"29, 27, 24",Yes,44515,13750000,10071,122,Corner ,M1-2/R6A ,,C2-4,,MX-8,VIH,2.7,27192,506
Long Island City,Queens,473,548,No,44512,33250000,7500,174.34,Corner,M1-3 ,,,,,,5,37500,120
Downtown Brooklyn,Brooklyn,2050,"100, 98",Yes,44512,5500000,25482,127.75,Through,C6-4 ,,,,DB,MIH,10,254820,130
Borough Park,Brooklyn,5346,32,No,44512,4500000,9425,100,Interior,M1-2,,,,,,2,18850,292
Greenpoint,Brooklyn,2482,16,No,44509,1650000,2389,30,Interior,M1-2/R6 ,,,,MX-8,VIH,2.42,5773,286
Allerton,The Bronx,4342,94,No,44508,2450000,12069,83.75,Interior,R6,,,,,,3,39925,61
Williamsburg,Brooklyn,2305,10,No,44508,4200000,3787,42.5,Interior,R6A ,,C1-4,,,VIH,2.7,10225,411
Homecrest,Brooklyn,6780,37,No,44504,1443500,3333,33.33,Interior,R7A,,,,,,3.98,13254,109
Norwood,The Bronx,3355,61,No,44504,1930000,22376,37.11,Corner,R7B,,,,,,3,66964,240
Red Hook,Brooklyn,587,"50, 51, 52, 53, 1, 2, 3",Yes,44504,5200000,13440,144,Corner ,R5  ,,C1-3,,,,1.25,15599,333
Williamsburg,Brooklyn,2751,42,No,44504,16062500,2500,25,Interior,R6B,,,,,,2,5000,386
Long Island City,Queens,472,646,No,44503,13100000,70200,905.16,Corner,M1-3 ,,,,,,5,351000,100
Inwood,Manhattan,2229,25,No,44503,10400000,9992,199.92,Corner,C4-4D,,,,IN,MIH,7.2,71942,145
Rego Park,Queens,3075,24,No,44503,35000000,12290,121.95,Interior ,R7-1,,C1-2,,,,4,57903,226
Long Island City,Queens,704,"12, 1, 42",Yes,44502,39750000,63400,916.4,Corner,R7X,R6B,C2-4,,,MIH,2.20/6.00,293000,136
Maspeth,Queens,2657,28,No,44498,49500000,146700,280.9,Through,M1-1,,,,,,1,146700,337
Vinegar Hill,Brooklyn,55,20,No,44496,48500000,49200,164.58,Through,R6A ,,C2-4,,,,3.01,148564,326
Wakefield,The Bronx,4835,"36, 37, 39, 43, 45",Yes,44491,5700000,43805,264.67,Interior,R6A,,,,,,3,131415,43
Highbridge,The Bronx,2872,"70, 71, 72, 73",Yes,44490,5100000,11500,100,Interior,R7-1,,,,,,3.44,33207,114
Greenpoint,Brooklyn,2684,"116, 16, 15",Yes,44490,3785000,6683,66.83,Interior,R6B,,,,,,2,13321,383
East Harlem,Manhattan,1807,"9, 10",Yes,44489,3250000,5046,50,Interior ,R7-2,,,,,,4.6,23212,167
Mott Haven,The Bronx,2330,"18, 19",Yes,44489,3875000,4326,50,Interior,C4-4 ,,,,,,4,17304,188
Highbridge,The Bronx,2525,"23, 24, 25",Yes,44487,77000000,7000,75,Corner,R7-1,,C1-4,,,,3.44,37867,49
Chelsea,Manhattan,707,"26, 41, 45",Yes,44487,1850000,17281,175,Through,C6-4 ,,,,HY,,10,172810,446
Old Astoria,Queens,539,14,No,44484,4500000,13540,193,Through,R6B,,C2-3,,,,2,27080,166
East New York,Brooklyn,3955,44,No,44481,1150000,2445,25.33,Corner ,R8A ,,C2-4,,EC-5,MIH,7.2,17604,65
Canarsie,Brooklyn,7946,"76, 78",Yes,44477,8000000,56133,289.6,Corner ,M1-1,,,,,,1,56133,143
Greenpoint,Brooklyn,2524,"24, 26, 28, 37",Yes,44477,8000000,25000,250,Corner ,M3-1 ,,,,,,2,49992,160
Greenpoint,Brooklyn,2815,1,No,44476,6000000,197188,300,Interior,M3-1,,,,,,2,394376,177
Windsor Terrace,Brooklyn,877,"43, 44, 45",Yes,44476,70000000,14017,140,Corner ,R5B,,,,,,1.35,18892,318
University Heights,The Bronx,3192,50,No,44473,1500000,7403,82.25,Interior,R7A,,C2-4,,J,MIH,4.6,34054,44
East New York,Brooklyn,"4141, 4143","33, 35, 39, 1, 4, 1",Yes,44469,7850000,240139,826.5,Corner ,M1-4/R7A ,,,,MX-16,MIH,4.6,1104639,25
Rego Park,Queens,3104,16,No,44469,10500000,13725,240,Corner,R7A,,C2-3,,,MIH,4.6,62138,169
Upper East Side,Manhattan,1427,6,No,44469,27294079,2043,20,Interior ,R10A,,C1-5,,,,10,20430,384
Bedford-Stuyvesant,Brooklyn,1736,"39, 34, 38, 137, 37, 35",Yes,44462,2875000,16167,176.67,Corner ,R7D ,,C2-4,,,MIH,5.6,90535,188
Maspeth,Queens,2577,30,No,44462,17000000,10889,209,Corner,M1-1,,,,,,1,10643,270
Flushing,Queens,5061,22,No,44462,4879650,5000,150,Corner,M1-2,,,,,,2,10000,488
Long Island City,Queens,17,1,No,44459,5200000,76000,960,Through,R8A,R7A,M1-5,M1-4,,,4.00/6.02,443449,20
Mott Haven,The Bronx,2307,17,No,44459,8850000,16120,105,Corner,R6 ,,C1-4,,,,3,48360,108
Astoria,Queens,574,48,No,44456,2900000,5000,50,Interior ,R6B,,,,,,2,10000,290
Garment District,Manhattan,811,60,No,44456,8000000,2469,25,Interior,M1-6 ,,,,GC,,10,24690,324
Long Island City,Queens,415,"4, 10 ",Yes ,44453,63000000,30540,523.76,Corner,R9,,M1-5,,LIC,,8,240647,262
Williamsbridge,The Bronx,4693,33,No,44452,3550000,19000,175,Corner,R6A ,,C1-4,,,,3,55771,64
East Flatbush,Brooklyn,4607,31,No,44441,1475000,4900,47,Interior,R6,,,,,,3,14700,100
Kips Bay,Manhattan,885,"69, 70, 71, 82",Yes,44439,16520500,9875,218.75,Interior,C6-2A,,,,,,6.02,59448,278
Flatbush,Brooklyn,5152,12,No,44434,7400000,15330,167.67,Corner ,C4-4A ,,,,,VIH,3.45,52889,140
Central Harlem,Manhattan,1717,23,No,44433,2200000,12615,49.5,Interior ,R7-2,,,,,,1.89,23882,126
Red Hook,Brooklyn,597,"29, 28, 27",Yes,44433,3000000,5175,75,Corner ,M1-1/R5,,,,MX-5,,1.25,6469,340
Chelsea,Manhattan,796,63,No,44431,31000000,8188,89,Interior ,C6-3A,,,,,,7.52,61574,503
Hunters Point,Queens,431,11,No,44427,1600000,1140,16.5,Interior ,R7-3,,M1-5,,LIC,,5,5700,281
Bedford-Stuyvesant,Brooklyn,1941,3,No,44425,1636000,3658,36.58,Interior,R6B,,,,,,2,7316,224
Greenpoint,Brooklyn,2694,7,No,44420,1500000,5440,63.08,Interior,M3-1,,,,,,2,10880,138
Bay Ridge,Brooklyn,6065,"39, 28",Yes,44414,27000000,31875,300.12,Corner ,C8-2  ,,,,BR,,2,92903,291
Jamaica,Queens,9681,71,No,44406,1200000,6300,50,Interior ,R7A,,,,DJ,VIH,3.45,21735,127
Woodside,Queens,1229,"75, 76",Yes,44406,2750000,5000,50,Interior ,R5B,,,,,,1.35,6750,178
Far Rockaway,Queens,15815,91,No,44399,4225000,54340,441.21,Interior ,R6,,,,,,2.43,132046,32
Hunters Point,Queens,85,13,No,44398,11000000,7500,75,Interior ,R7-3,,M1-5,,LIC,,5,37500,293
Bedford-Stuyvesant,Brooklyn,1716,"60, 59",Yes,44398,3000000,4888,50,Corner ,M1-2,,,,,,2,9776,307
East New York,Brooklyn,3988,28,No,44397,12750000,10000,100,Interior,R6A,,,,,MIH,3.6,36000,79
Downtown Brooklyn,Brooklyn,161,1,No,44397,2850000,4370,80,Corner ,C6-4,,,,DB,,10,43700,292
Fort Greene,Brooklyn,2027,11,No,44393,1300000,2104,25.08,Interior,R6,,,,,,2.2,4629,281
City Island,The Bronx,5634,1,No,44392,1550000,17910,50,Interior,M1-1,,,,CD,,1,17910,87
Far Rockaway,Queens,15525,"1, 51",No,44384,1500000,28625,285,Corner,R5,,,,,,1.25,35781,38
Sheepshead Bay,Brooklyn,7371,83,No,44384,2200000,25448,156.92,Interior,C8-1,R4,,,,,1.52,38767,39
Bushwick,Brooklyn,3150,1,No,44384,1350000,2500,25,Corner ,R6 ,,C2-3,,,,2.97,14867,148
Midwood,Brooklyn,6734,"101, 103",Yes,44384,1900000,7500,75,Corner ,R5,,,,,,1.25,9375,203
Rego Park,Queens,3086,34,No,44383,10950000,10000,200,Corner,R7-1,,C1-2,,,,4,40000,274
Chelsea,Manhattan,819,32,No,44379,2400000,3496,38,Interior ,C6-4A,C6-4M,,,,,10,34960,310
East Flushing,Queens,5431,"38, 41",Yes,44379,10843875,11118,79.84,Through,R3X,,,,,,0.5,4257,564
Belmont,The Bronx,3103,33,No,44378,1950000,5600,80,Corner,R6 ,,C1-4,,,,3,16800,116
Long Island City,Queens,417,20,No,44376,6175000,5409,50,Interior ,R7-3,,M1-5,,LIC,,5,27045,228
Foxhurst,The Bronx,2965,"42, 44",Yes,44375,2280000,14908,175,Interior,R7-1 ,R1-2,C2-4,,,,3.44,53752,54
Greenwood Heights,Brooklyn,685,35,No,44375,2891700,5016,50.08,Corner ,R6B,,,,,,1.98,9902,230
Westchester Village,The Bronx,4062,8,No,44372,2575000,25000,250,Interior,R4,,,,,,0.75,23452,110
Bedford-Stuyvesant,Brooklyn,1662,35,No,44372,1125000,3300,33,Interior,R6B,,,,,,2,6590,171
Park Slope,Brooklyn,1053,"20, 23, 26, 27, 78, 79, 86, 92, 127, 133, 134, 179",Yes,44371,30000000,64744,526.63,Through,R6B ,C4-3,,,,,2.00/3.00,131330,228
Borough Park,Brooklyn,5696,"14, 16",Yes,44371,3501000,8014,80,Interior,R5,,,,,,1.25,4569,383
Corona,Queens,1780,64,No,44370,1050000,3125,25,Interior ,R6B,,C2-4,,,,2,6250,168
Williamsburg,Brooklyn,2738,"10, 12",Yes,44368,8170000,6759,82,Interior,M1-2/R6A  ,,,,MX-8,VIH,2.7,18238,325
Brooklyn Heights,Brooklyn,261,"9, 110, 111",Yes,44368,5933000,5000,50,Interior,R6,,,,,,2.2,10557,774
Bedford-Stuyvesant,Brooklyn,1865,"3, 9",Yes,44365,12370000,45813,220.25,Corner ,M1-1,,,,,,1,45813,270
Sunset Park,Brooklyn,903,"127, 130",Yes,44364,1500000,6765,90,Interior,M1-2,,,,,,2,13530,111
Borough Park,Brooklyn,5295,36,No,44363,4300000,6000,60,Interior,M1-2/R6A  ,,,,MX-12,,3,18000,239
Williamsburg,Brooklyn,2916,35,No,44363,4850000,9850,49,Through,R6B ,,C2-4,,,,2,19700,246
Ridgewood,Queens,3466,58,No,44362,4900000,13218,121,Through,C4-3A,,,,,,3,39654,124
Belmont,The Bronx,3089,18,No,44358,2295000,7500,75,Interior,R7-1 ,,,,,,3.44,33001,70
Park Slope,Brooklyn,932,"7, 8",Yes,44350,7400000,3489,39.5,Interior,C4-4D,,,,G,,5.87,20492,361
Hunts Point,The Bronx,2763,"335, 345, 384",Yes,44349,10775000,55000,225,Corner,M1-2  ,,,,HP,,2,110000,98
Brownsville,Brooklyn,3499,"25, 27, 32, 36, 40, 41, 42, 43, 44",Yes,44349,8400000,32826,377.75,Corner ,R6 ,,C2-3,,,,2.2,72217,116
Ocean Hill,Brooklyn,1448,"37, 39",Yes,44344,1550000,5025,50,Interior,R6,,C2-3,,,,2.2,10867,143
Red Hook,Brooklyn,621,"1, 34",Yes,44343,45000000,157680,640,Corner ,M3-1,,,,,,2,315360,143
Mott Haven,The Bronx,2322,28,No,44343,21700000,33640,269.45,Corner,M14/R7X ,,,,MX-13,VIH,3.75,126150,172
West Farms,The Bronx,3122,"10, 11, 12, 14",Yes,44342,2723316,8598,156.89,Corner,R7-1 ,,,,,,3.44,29577,92
Mount Hope,The Bronx,2796,39,No,44341,2900000,6665,70.5,Interior,R8,,,,,,6.02,39399,74
Clinton Hill,Brooklyn,1878,21,No,44340,8600000,21946,235,Corner ,M1-2,,,,,,1.92,42196,204
Belmont,The Bronx,3111,59,No,44336,2875000,6945,81.58,Interior,R7-1 ,,C1-4,,,,4,27780,108
Hamilton Heights,Manhattan,1988,14,No,44336,3000000,4796,48,Interior ,R7A,,,,,,3.98,19071,151
Cobble Hill,Brooklyn,397,43,No,44335,2020000,2500,25,Interior,R6B,,,,,,2,4998,404
Downtown Brooklyn,Brooklyn,154,"5, 11, 12, 14, 15",Yes,44330,1600000,22964,136.59,Corner ,C6-4.5  ,,,,DB,,12,443418,170
South Astoria,Queens,657,40,No,44330,75500080,2610,26.08,Interior ,R6A,,C1-3,,,,3,7830,204
Far Rockaway,Queens,15661,80,No,44329,2300000,14995,100.02,Interior ,R6,,C2-4,,DFR,MIH,3.6,53982,43
Highbridge,The Bronx,2872,120,No,44328,1850000,6794,65.98,Corner,R7-1 ,,,,,,3.44,22509,82
Bedford-Stuyvesant,Brooklyn,1758,48,No,44327,1400000,2500,25,Interior,R7A  ,,C2-4,,,VIH,3.45,8625,162
Sunset Park,Brooklyn,850,69,No,44326,1370000,2003,20,Interior,R6B,,,,,,2,4001,342
Two Bridges,Manhattan,280,51,No,44322,5200000,3025,27.17,Interior ,C6-1G,,,,,,6,19388,268
Downtown Flushing,Queens,4974,45,No,44315,3500000,2000,34,Interior ,C4-2,C4-3,,,,,3.4,8949,391
Canarsie,Brooklyn,8023,39,No,44314,1335000,11700,130,Corner ,R5D ,,C2-3,,,,2,23400,57
Red Hook,Brooklyn,534,"17, 20",Yes,44314,4100000,10000,100,Interior,R5,,,,,,1.45,14520,282
Morris Heights,The Bronx,2862,"90, 97",Yes,44306,20826960,33913,362.92,Corner,C4-4D,,,,,MIH,7.2,244174,85
Williamsburg,Brooklyn,2757,39,No,44305,2300000,2150,25,Corner ,R7A  ,,C2-4,,,VIH,3.45,9851,233
Fordham,The Bronx,3142,65,No,44301,2650000,7500,75,Interior,R7-1 ,,C2-4,,,,3.44,32921,80
Mount Hope,The Bronx,2853,22,No,44301,7150000,10369,107.38,Corner,C4-4D,,,,,MIH,7.2,67220,82
Jamaica,Queens,9689,"8, 16",Yes,44301,5500000,17465,325.71,Corner,R6A,R5,C2-4,,DJ,,1.25/3.00,90951,110
Williamsburg,Brooklyn,2273,"30, 33",Yes,44301,10000000,9500,100,Corner ,R6 ,,C2-3,,,,3.19,30344,236
Crown Heights,Brooklyn,1306,"28, 32, 35",Yes,44298,4880000,38118,301.19,Corner ,C8-2  ,R6,C1-3,,,,2.00/2.20,79387,191
Little Italy,Manhattan,199,30,No,44298,15195258,2400,47.83,Interior ,C6-1,,,,,,6,14400,339
Bedford Park,The Bronx,3322,44,No,44295,1170000,6500,65,Interior,R8,,,,,,6.02,39036,54
Sunset Park,Brooklyn,722,"57, 58, 59",Yes,44295,2125000,5634,56.25,Interior,M1-2,,,,,,2,11268,104
Washington Heights,Manhattan,2134,"146, 152, 153, 154",Yes,44293,9500000,13089,161.25,Interior ,R8,,,,,,6.02,78796,121
Clinton Hill,Brooklyn,1888,11,No,44292,3200000,5750,22.5,Interior,R6B,,,,,,2,11500,278
Downtown Flushing,Queens,4958,55,No,44286,6200000,10015,44.55,Interior ,R6,,C2-2,,,,3,48072,234
Elmhurst,Queens,1581,26,No,44286,11250000,7671,243,Corner,R7B,,,,,,3,20903,297
Maspeth,Queens,2657,50,No,44284,18000000,32607,327.23,Interior ,M1-1,,,,,,1,133684,135
Downtown Flushing,Queens,4949,1,No,44284,3750000,7700,167.06,Corner,M2-1,,,,,,2,15400,244
Bushwick,Brooklyn,3400,"46, 54",Yes,44281,6700000,32692,200.14,Corner ,M1-1,,,,,,1,32692,205
Bensonhurst,Brooklyn,6180,"31, 33",Yes,44280,3608132,18518,178.15,Corner ,C4-4L,,,,,,1.25,23148,156
Chelsea,Manhattan,805,"6, 7",Yes,44280,3765000,13525,136,Interior,M1-6 ,,,,,,10,133703,273
Fort Greene,Brooklyn,2092,48,No,44280,36500000,4400,44,Interior,R6B,,,,,,1.99,8772,429
Crown Heights,Brooklyn,1400,6,No,44279,2350000,5779,50,Corner ,R4 ,,C2-3,,,,2,13352,176
Bedford Park,The Bronx,3312,"63, 67",Yes,44273,3600000,7242,77.34,Interior,R8,,,,,,6.02,43597,87
Long Island City,Queens,369,27,No,44273,3800000,12374,226.8,Corner,R6A,,M1-2,,LIC,,3,37122,97
Kew Gardens,Queens,9285,90,Yes ,44271,1700000,6836,234.53,Corner,R6,,C2-3,,,,3,20523,102
Tremont,The Bronx,3080,"98, 99",Yes,44271,2100000,4950,150,Corner,R7-1,,,,,,3.44,16079,106
Upper East Side,Manhattan,1542,13,No,44271,13725000,2767,27.08,Interior ,R10A,,,,,,10,24736,555
Gowanus,Brooklyn,424,1,No,44267,9000000,47500,200,Corner ,M2-1,,,,,,4.96,297278,30
Long Island City,Queens,316,13,No,44265,3480000,22760,327.6,Corner,R7A,,M1-4,,MX-23,MIH,4.6,104696,67
Tremont,The Bronx,2952,56,No,44265,5500000,5371,46.53,Interior,R7-1 ,,,,,,3.44,18372,76
Jamaica,Queens,9764,63,No,44265,1399076,9162,187.1,Corner,R7A,,C1-3,,DJ,VIH,3.45,29636,117
Woodside,Queens,1228,17,No,44265,7000000,3000,30,Interior ,R5B,,,,,,1.35,26984,204
Fieldston,The Bronx,5814,1182,No,44260,4940200,13975,175,Corner,R6 ,,C2-2,,,,3,41925,124
Greenpoint,Brooklyn,2701,"1, 2",Yes,44260,5200000,4774,42.58,Corner ,R6B,,,,,VIH,1.61,20977,236
Inwood,Manhattan,2235,9,No,44259,10500000,17875,125,Interior ,R7-2,,C2-4,,IN,,4.00/3.44,68490,153
East New York,Brooklyn,3988,28,No,44258,1700000,10000,100,Interior,R6A,,,,,MIH,3.6,35992,47
Richmond Hill,Queens,9393,"6, 9, 10",Yes,44257,3500000,10313,125,Corner,R6A,R4A,C2-3,,,,3,30939,113
Williamsburg,Brooklyn,2307,"23, 22",Yes,44257,4500000,4426,82.53,Corner,M1-2/R6A  ,,,,MX-8,VIH,2.7,11950,377
Inwood,Manhattan,2214,24,No,44256,16000000,20000,400,Corner,C6-2,,,,IN,MIH,6.08,122157,131
Clinton Hill,Brooklyn,1888,88,No,44253,1550000,3270,47.5,Interior,R6B,,,,,,2,6540,237
Ditmars Steinway,Queens,874,70,No,44252,3975000,13106,114.6,Interior ,R5B,,,,,,1.35,17693,225
Longwood,The Bronx,2603,83,No,44251,11800000,56813,420.82,Interior,C8-3,,,,,,2,112780,105
Elmhurst,Queens,2451,6,No,44245,2800000,10750,201.1,Corner,M1-1,,,,,,1,10750,260
Greenpoint,Brooklyn,2504,50,No,44243,1850000,2500,25,Interior,R6B,,,,,,1.99,7084,261
Williamsburg,Brooklyn,2263,46,No,44243,8000000,3252,47.92,Corner ,R7-1,,,,,,3.44,11187,358
Prospect Heights,Brooklyn,1161,1,No,44243,4000000,5426,155.5,Corner ,R6A,,C2-4,,,,3,16276,492
Old Astoria,Queens,536,48,No,44239,3500000,3003,30,Interior ,R7A,,C2-3,,,VIH,3.45,12035,291
East New York,Brooklyn,4228,13,No,44238,4375000,7200,80,Corner ,R7A ,,C2-4,,EC-5,MIH,4.6,54000,81
Brownsville,Brooklyn,3526,1,No,44236,1100000,2500,100,Corner ,C4-3,,,,,,1.96,4900,224
Soundview,The Bronx,3734,35,No,44231,3184314,39804,365.51,Corner,M1-1,,,,,,1,39804,61
Flatlands,Brooklyn,7762,"1, 5, 10",Yes,44231,2445898,19360,246.22,Corner ,R3-2 ,,C2-2,,,,1,13158,242
Mill Basin,Brooklyn,8602,23,No,44229,1230000,247240,200.39,Corner ,R2,,,,,,0.5,123620,15
Wingate,Brooklyn,4795,6,No,44229,1800000,2852,31,Interior,R6,,,,,,3.65,10417,118
Jamaica,Queens,10109,"31, 44",Yes,44225,4500000,27000,357.36,Corner,M1-4,,,,DJ,,2,56200,80
Red Hook,Brooklyn,612,150,No,44225,78000000,696589,587,Interior,M3-1,,,,,,0.46,310967,251
East New York,Brooklyn,4214,12,No,44223,2550000,20000,190,Corner ,R7A ,,C2-4,,,MIH,4.6,98361,62
Williamsburg,Brooklyn,2384,"15, 117",Yes,44223,6125000,3384,48.83,Interior,M1-2/R6A ,,,,MX-8,VIH,2.7,9137,279
Williamsburg,Brooklyn,2241,39,No,44222,2450000,5384,113.29,Corner ,R6A,,,,,,2.99,16077,152
Clinton Hill,Brooklyn,1952,39,No,44218,1160000,2500,25,Interior,R6B,,,,,,2,5898,197
Williamsburg,Brooklyn,2272,9,No,44217,4000000,5000,50,Interior,R7A,,,,,VIH,3.45,17240,232
Sunset Park,Brooklyn,5728,24,No,44215,1190000,4292,42.92,Interior,M1-1,,,,,,1.67,7164,166
Ditmas Park,Brooklyn,5153,7,No,44214,1995000,4164,43.25,Interior,R6A ,,C2-4,,,,3,12490,160
Greenwood Heights,Brooklyn,885,5,No,44209,7850000,10228,120.33,Corner ,R6A,,C2-4,,,,2.96,30289,259
East Harlem,Manhattan,1788,48,No,44203,2350000,2496,25,Interior ,C4-6,,,,EHC,MIH,10,24960,94
Madison,Brooklyn,7339,49,No,44203,3000000,10000,100,Corner ,R4 ,,C1-2,,,,1.99,19944,150
East Harlem,Manhattan,1683,34,No,44202,4018000,5046,50,Interior ,R7A,,,,,,4,20170,199
Westchester Village,The Bronx,3984,25,No,44201,1250000,3120,36.23,Interior,R6 ,,C1-4,,,,3,9360,134
Belmont,The Bronx,3031,66,No,44196,1170000,5490,61,Interior,R7-1 ,,,,,,3.44,18886,62
Fordham,The Bronx,3244,"130, 145, 160",Yes,44196,18151979,130376,565.25,Interior,M1-1,M3-1,,,,,1.00/2.00,197014,168
Mott Haven,The Bronx,2350,"1, 5",Yes,44196,23780000,24453,228.82,Corner,M1-4/R8A  ,,,,MX-13,VIH,5.4,132046,180
Williamsburg,Brooklyn,3056,168,No,44196,33000000,48785,170.06,Corner ,M3-1,,,,,,2,97570,186
Midwood,Brooklyn,7648,9,No,44193,2500000,7350,70,Interior,R4 ,,C2-2,,,,1,7350,340
Bath Beach,Brooklyn,6413,1,No,44188,4900000,9532,101.75,Corner ,R5  ,,C1-2,,,,1.25,12236,400
Melrose,The Bronx,2374,"40, 41",Yes,44187,6000000,8558,75,Interior,C4-4,,,,,,3.44,29440,54
Norwood,The Bronx,3331,57,No,44187,12790000,15000,125,Interior,R7D ,,C2-4,,,VIH,4.2,63000,95
Highbridge,The Bronx,2857,1,No,44187,4250000,15986,106.71,Corner,R8A ,,C2-4,,J,MIH,7.2,115099,111
Red Hook,Brooklyn,"495, 493, 491, 489",1,Yes,44187,45000000,168525,700.25,Interior,M3-1,,,,,,2,337050,134
Greenwood Heights,Brooklyn,897,35,No,44187,1600000,2516,25.17,Corner,R6B,,,,,,2,5032,293
Greenwich Village,Manhattan,562,28,No,44187,1475000,2083,25.02,Interior,C6-1,,,,,,6,12498,340
Financial District,Manhattan,31,10,No,44183,5700000,1867,25.81,Interior,C5-5  ,,,,LM,,15,28005,204
Bedford Park,The Bronx,3308,"59, 92",Yes,44182,10806880,40200,402,Through,R8,,,,,,6.02,240867,69
Williamsbridge,The Bronx,4657,"42, 71",Yes,44182,16502357,35006,350.03,Through,R7A,,,,,,4,139533,77
Gravesend,Brooklyn,7205,76,No,44179,1497500,9556,42.9,Interior,M1-1 ,R5,,,,,1.00/1.25,10269,146
