NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Kingsbridge Heights,The Bronx,3253,"86, 85",Yes,45411,2700000,12940,105.17,Interior,R6,,,,,,2.2,30783,88
Murray Hill,Queens,5014,40,No,45411,7900000,10650,249,Corner,R6 ,,C1-2,,,,3,31950,247
East Harlem,Manhattan,1645,"35, 32",Yes,45407,7000000,7964,66.67,Interior,C4-6 ,,R7A,,EHC,MIH,9.00/4.60,57609,95
Norwood,The Bronx,3331,57,No,45407,13000000,15000,125,Interior,R7D ,C2-4,,,,VIH,4.2,63000,111
Red Hook,Brooklyn,574,"1, 23, 24",Yes,45407,35139256,80000,1100,Corner,M2-1,,,,,,2,300000,117
Claremont,The Bronx,2930,"39, 26",Yes,45407,5500000,52956,737.93,Corner,M1-4,,,,,,2,105912,123
Greenpoint,Brooklyn,2698,32,No,45406,7229250,10376,97.75,Interior,M1-2 ,,R6B,R6A,MX-8,VIH,2,20752,348
Williamsburg,Brooklyn,2393,"29,30,31,32,33,34,35",Yes,45405,6500000,8881,203,Corner,R6B,,,,,VIH,2,17762,366
Crown Heights,Brooklyn,1192,"40,41,46",Yes,45404,1625000,68258,522.25,Corner,R6A,,,,,,3,204707,313
Fort Greene,Brooklyn,2044,71,No,45404,64000000,2500,25,Interior,R6B,,,,,,2,5000,325
Melrose,The Bronx,2376,47,No,45400,3100000,7087,51.44,Corner,C4-4,,,,,,4.00/3.44,27260,54
Bedford-Stuyvesant,Brooklyn,1854,"41, 40, 38",Yes,45400,1400000,9089,202.58,Corner,R7D ,,C2-4,,,VIH,4.2,38174,144
Bedford-Stuyvesant,Brooklyn,1768,28,No,45400,1475000,2000,20,Interior,R6B,,,,,,2,4000,350
Williamsburg,Brooklyn,2224,"17, 18",Yes,45400,5500002,4000,40,Interior,R6,,,,,,2.2,8800,352
